iter,loss,Acc,mean image rate
254,3.179,0.277,1020.362 img/s).
255,3.071,0.297,1073.628 img/s).
256,3.145,0.246,1082.530 img/s).
257,3.422,0.219,986.576 img/s).
258,3.333,0.238,742.872 img/s).
259,3.223,0.277,759.934 img/s).
260,3.56,0.191,735.985 img/s).
261,3.404,0.242,688.413 img/s).
262,3.103,0.266,811.653 img/s).
263,3.162,0.254,681.810 img/s).
264,3.156,0.281,708.175 img/s).
265,3.211,0.27,705.973 img/s).
266,3.143,0.273,699.609 img/s).
267,3.381,0.219,671.372 img/s).
268,3.081,0.289,718.292 img/s).
269,3.296,0.258,714.232 img/s).
270,3.222,0.277,733.260 img/s).
271,3.431,0.254,716.841 img/s).
272,3.165,0.23,724.592 img/s).
273,3.234,0.277,706.226 img/s).
274,3.026,0.293,791.645 img/s).
275,3.408,0.227,729.174 img/s).
276,3.329,0.254,761.103 img/s).
277,3.153,0.258,734.388 img/s).
278,3.256,0.254,752.219 img/s).
279,3.406,0.262,668.838 img/s).
280,3.244,0.238,711.584 img/s).
281,3.207,0.25,711.678 img/s).
282,3.304,0.242,746.765 img/s).
283,3.309,0.266,731.540 img/s).
284,3.409,0.238,738.026 img/s).
285,3.351,0.25,731.494 img/s).
286,3.265,0.266,721.476 img/s).
287,3.205,0.273,763.028 img/s).
288,3.239,0.301,537.163 img/s).
289,3.238,0.293,738.085 img/s).
290,3.219,0.227,698.079 img/s).
291,3.283,0.277,715.303 img/s).
292,3.09,0.309,738.250 img/s).
293,3.129,0.27,741.468 img/s).
294,3.374,0.27,738.381 img/s).
295,3.154,0.273,728.200 img/s).
296,2.993,0.27,747.962 img/s).
297,3.28,0.262,732.294 img/s).
298,3.148,0.285,715.285 img/s).
299,3.209,0.238,742.054 img/s).
300,3.332,0.23,747.204 img/s).
301,3.283,0.254,722.827 img/s).
302,3.191,0.297,625.776 img/s).
303,3.363,0.27,760.334 img/s).
304,3.305,0.258,637.664 img/s).
305,3.165,0.289,722.336 img/s).
306,3.442,0.246,745.445 img/s).
307,3.154,0.246,700.086 img/s).
308,3.072,0.27,752.071 img/s).
309,3.495,0.242,736.772 img/s).
310,3.022,0.305,540.206 img/s).
311,3.217,0.281,719.984 img/s).
312,3.194,0.273,726.562 img/s).
313,3.39,0.238,752.325 img/s).
314,3.303,0.223,713.495 img/s).
315,3.274,0.281,702.131 img/s).
316,3.325,0.25,745.910 img/s).
317,3.233,0.25,790.050 img/s).
318,3.302,0.266,702.227 img/s).
319,3.267,0.27,759.030 img/s).
320,3.188,0.285,714.284 img/s).
321,3.409,0.215,692.492 img/s).
322,3.008,0.281,718.459 img/s).
323,3.298,0.223,787.901 img/s).
324,3.202,0.266,725.758 img/s).
325,3.464,0.23,723.478 img/s).
326,3.552,0.23,725.491 img/s).
327,3.229,0.25,478.844 img/s).
328,3.082,0.254,674.693 img/s).
329,3.22,0.262,761.618 img/s).
330,3.066,0.297,673.557 img/s).
331,3.441,0.25,649.557 img/s).
332,3.554,0.195,742.645 img/s).
333,3.413,0.211,714.174 img/s).
334,3.471,0.238,700.241 img/s).
335,3.283,0.238,687.203 img/s).
336,3.264,0.23,169.952 img/s).
337,3.145,0.273,759.106 img/s).
338,3.251,0.273,703.578 img/s).
339,3.241,0.277,673.865 img/s).
340,3.329,0.219,641.440 img/s).
341,3.311,0.238,678.687 img/s).
342,3.446,0.215,651.242 img/s).
343,3.421,0.238,689.889 img/s).
344,3.225,0.23,714.429 img/s).
345,3.592,0.207,508.945 img/s).
346,3.222,0.234,724.170 img/s).
347,3.391,0.195,748.274 img/s).
348,3.189,0.234,716.655 img/s).
349,3.129,0.234,708.185 img/s).
350,3.27,0.262,753.946 img/s).
351,3.123,0.297,727.464 img/s).
352,3.301,0.277,768.975 img/s).
353,3.35,0.242,523.172 img/s).
354,3.33,0.27,745.683 img/s).
355,3.535,0.203,747.604 img/s).
356,3.387,0.219,678.222 img/s).
357,3.207,0.207,682.999 img/s).
358,3.497,0.23,739.115 img/s).
359,3.469,0.203,763.896 img/s).
360,3.503,0.23,732.499 img/s).
361,3.422,0.238,734.343 img/s).
362,3.298,0.281,657.056 img/s).
363,3.2,0.285,733.768 img/s).
364,3.323,0.215,731.103 img/s).
365,3.072,0.332,701.905 img/s).
366,3.292,0.242,721.312 img/s).
367,3.418,0.23,749.117 img/s).
368,3.525,0.211,705.445 img/s).
369,3.357,0.227,758.222 img/s).
370,3.488,0.199,735.857 img/s).
371,3.411,0.215,767.061 img/s).
372,3.496,0.227,757.785 img/s).
373,3.422,0.266,750.880 img/s).
374,3.38,0.223,698.004 img/s).
375,3.414,0.227,781.072 img/s).
376,3.292,0.262,675.194 img/s).
377,3.107,0.309,711.465 img/s).
378,3.311,0.242,637.447 img/s).
379,3.208,0.25,723.175 img/s).
380,3.106,0.324,771.906 img/s).
381,3.345,0.254,726.601 img/s).
382,3.35,0.219,739.814 img/s).
383,3.13,0.316,745.106 img/s).
384,3.413,0.246,694.247 img/s).
385,3.153,0.277,700.269 img/s).
386,3.331,0.25,669.546 img/s).
387,3.221,0.305,628.113 img/s).
388,3.175,0.289,678.225 img/s).
389,3.2,0.258,706.230 img/s).
390,3.489,0.258,749.653 img/s).
391,3.461,0.262,707.201 img/s).
392,3.388,0.223,786.620 img/s).
393,3.114,0.277,738.475 img/s).
394,3.418,0.23,628.409 img/s).
395,3.249,0.258,738.532 img/s).
396,3.409,0.238,762.246 img/s).
397,3.284,0.246,747.209 img/s).
398,3.198,0.27,705.305 img/s).
399,3.084,0.289,263.540 img/s).
400,3.02,0.266,64.794 img/s).
401,3.216,0.258,1013.881 img/s).
402,3.303,0.277,1059.734 img/s).
403,3.165,0.281,1090.545 img/s).
404,3.527,0.211,1012.561 img/s).
405,3.382,0.227,1107.490 img/s).
406,3.427,0.223,1066.905 img/s).
407,3.198,0.285,878.574 img/s).
408,3.527,0.215,742.519 img/s).
409,3.335,0.25,736.363 img/s).
410,3.312,0.191,655.192 img/s).
411,3.45,0.234,649.979 img/s).
412,3.249,0.293,756.488 img/s).
413,3.341,0.23,683.418 img/s).
414,3.273,0.289,753.454 img/s).
415,3.448,0.301,743.140 img/s).
416,3.238,0.289,750.979 img/s).
417,3.455,0.246,735.259 img/s).
418,3.267,0.238,745.787 img/s).
419,3.442,0.234,725.992 img/s).
420,3.274,0.23,762.427 img/s).
421,3.381,0.207,735.878 img/s).
422,3.307,0.273,782.680 img/s).
423,3.368,0.242,702.479 img/s).
424,3.102,0.312,717.839 img/s).
425,3.184,0.273,700.494 img/s).
426,3.419,0.25,639.133 img/s).
427,2.995,0.297,752.106 img/s).
428,3.381,0.238,741.799 img/s).
429,3.489,0.195,768.114 img/s).
430,3.226,0.336,740.930 img/s).
431,3.382,0.262,721.531 img/s).
432,3.101,0.297,704.591 img/s).
433,3.469,0.23,682.170 img/s).
434,3.219,0.281,728.179 img/s).
435,3.329,0.223,736.284 img/s).
436,3.414,0.227,745.982 img/s).
437,3.473,0.211,738.769 img/s).
438,3.27,0.297,722.368 img/s).
439,3.292,0.262,734.991 img/s).
440,3.191,0.305,702.350 img/s).
441,3.306,0.27,738.677 img/s).
442,3.358,0.285,721.357 img/s).
443,3.445,0.195,738.788 img/s).
444,3.335,0.246,722.062 img/s).
445,3.316,0.262,739.831 img/s).
446,3.303,0.23,737.869 img/s).
447,3.298,0.266,737.880 img/s).
448,3.196,0.262,714.549 img/s).
449,3.111,0.297,715.242 img/s).
450,3.414,0.234,731.665 img/s).
451,3.365,0.254,772.401 img/s).
452,3.481,0.227,542.158 img/s).
453,3.477,0.227,663.610 img/s).
454,3.656,0.23,655.426 img/s).
455,3.501,0.203,572.222 img/s).
456,3.433,0.246,719.469 img/s).
457,3.411,0.266,708.958 img/s).
458,3.545,0.266,710.819 img/s).
459,3.245,0.234,764.592 img/s).
460,3.06,0.324,182.693 img/s).
461,3.3,0.258,682.796 img/s).
